Category,Unit,Process,Total  eco-costs  (euro),eco-costs of human health (euro),eco-costs of exo-tocicity (euro ),eco-costs of resource (scarcity   euro),eco-costs of carbon  (footprint euro),eco-costs of Acidification (euro ),eco-costs of Eutrophication (euro ),eco-costs of Photochemical (oxidants   euro ),eco-costs of Fine dust (euro ),eco-costs of Human tocicity (cancer        euro ),eco-costs of Human tocicity (non-canc  euro),eco-costs of Ecotoxicity  (freshwater euro ),eco-costs of Metals Scarcity (euro ),eco-costs of fossil products (              euro),eco-costs of uranium (euro ),eco-costs of land-use (euro ),eco-costs of Baseline Water (Stress       euro ),eco-costs of Landfill ( euro ),Carbon footprint (kg CO2 equiv.),CED (Total) (MJ),Non-renewable fossil (MJ),Non-renewable nuclear (MJ),Non-renewable biomass (MJ),Renewable biomass (MJ),"Renewable wind, solar, geo (MJ)",Renewable water (MJ),ReCiPe2016 endpoint (Pt) (World(2010) H/A),ReCiPe human health (Pt),ReCiPe ecotoxixity (Pt),ReCiPe resources (Pt),ReCiPe human health (DALY),ReCiPe ecotoxixity (species.year),ReCiPe resources (USD2013),"Global warming,  Human health (DALY)","Global warming,  Terrestrial ecosystems (species.year)","Global warming,  Freshwater ecosystems (species.year)",Stratospheric  ozone depletion (DALY),Ionizing  radiation (DALY),"Ozone formation,  Human health (DALY)",Fine particulate  matter formation (DALY),"Ozone formation,  Terrestrial ecosystems (species.year)",Terrestrial  acidification (species.year),Freshwater  eutrophication (species.year),Marine  eutrophication (species.year),Terrestrial  ecotoxicity (species.year),Freshwater  ecotoxicity (species.year),Marine  ecotoxicity (species.year),Human  carcinogenic toxicity (DALY),Human  non-carcinogenic toxicity (DALY),Land use . (species.year),mineral resource  scarcity (USD2013),Fossil resource  scarcity (USD2013),"Water consumption,  Human health (DALY)","Water consumption,  Terrestrial ecosystem (species.year)","Water consumption,  Aquatic ecosystems (species.year)",EF 3.1 Total (Pt),Acidification  (Pt),Climate change  (Pt),Ecotoxicity freshwater (Pt),Particulate  matter (Pt),"Eutrophication,  marine (Pt)","Eutrophication,  freshwater (Pt)","Eutrophication,  terrestrial (Pt)","Human toxicity,  cancer (Pt)","Human toxicity, non-cancer non-cancer (Pt)",Ionising radiation  (Pt),Land use  (Pt),Ozone depletion  (Pt),Photochemical ozone formation  (Pt),"Resource use,  fossils (Pt)","Resource use,  minerals+metals (Pt)",Water use  (Pt),Sources of LCI:
"Materials, metals, ferro, steel high grade ",kg ,34Cr4,"0,3121","0,0221","0,0344","0,0902","0,16538","0,01949815","0,010517937","0,008389584","0,0029407393","0,0071371245","0,0036685864","0,0044286891","0,081204357","0,000049173107","0,0079177907","1,88E-07","0,00098647975",0,"1,2435","16,039344","14,002543","1,0734532",0,"0,96222146","0,000058003318","0,0010687004","0,02976","0,02796","0,00117","0,00063","0,000001676282028","0,000000004340875002","0,087597277","1,16E-06","3,50E-09","9,56E-14","2,72E-10","2,81E-13","1,25E-09","4,48E-07","1,78E-10","5,16E-10","6,81E-12","1,44E-14","2,42E-11","3,98E-13","2,12E-13","5,92E-09","4,21E-08","2,54E-13","0,012051026","0,075546251","1,91E-08","1,16E-10","5,20E-15","8,39E-05","0,0000039612804","0,000034671602","5,19E-07","0,0000053236119","8,34E-07","1,51E-07","1,21E-06","9,58E-06","2,43E-06","2,11E-09","1,78E-10","3,73E-11","1,91E-06","0,00001818399","2,42E-06","2,75E-06",mix of the Idemat data of the basic metals
"Materials, metals, ferro, steel high grade ",kg ,34CrAl6,"0,3489","0,0252","0,0415","0,0982","0,18401","0,024888443","0,010931896","0,0085786922","0,0029264607","0,0098928801","0,0037561578","0,0056452181","0,084639389","0,000056967813","0,012553206","2,58E-07","0,00097819573",0,"1,3836","18,983099","15,784627","1,7018754",0,"1,3852284","0,069165106","0,042203141","0,03386","0,03183","0,00131","0,00072","0,00000190805563","0,000000004854697281","0,101222785","1,29E-06","3,89E-09","1,06E-13","2,68E-10","1,50E-13","1,28E-09","5,48E-07","1,83E-10","6,32E-10","7,84E-12","1,46E-14","2,59E-11","4,77E-13","2,32E-13","6,46E-09","4,40E-08","3,97E-13","0,0116995","0,089523285","1,90E-08","1,15E-10","5,16E-15","9,82E-05","4,77E-06","0,000038577073","6,61E-07","5,96E-06","8,49E-07","1,78E-07","1,23E-06","1,33E-05","2,49E-06","1,13E-09","2,66E-10","1,99E-11","2,02E-06","2,11E-05","4,33E-06","2,72E-06",mix of the Idemat data of the basic metals
"Materials, metals, ferro, steel high grade ",kg ,35NiCr18,"1,4224","0,0275","0,5678","0,5961","0,23103","0,55156319","0,01118532","0,01258568","0,0028006431","0,0086089516","0,003536529","0,0050320301","0,58487148","0,00047673449","0,0097755956","1,91E-07","0,00094385507",0,"1,7371","26,125699","23,608185","1,3253248",0,"1,1916666","0,000043643576","0,000478686","0,20276","0,19667","0,00463","0,00147","0,00001179075767","0,00000001711525041","0,205202607","1,62E-06","4,88E-09","1,33E-13","2,59E-10","1,15E-13","1,87E-09","1,01E-05","3,26E-10","1,18E-08","7,22E-12","1,40E-14","2,44E-11","4,39E-13","2,16E-13","5,87E-09","4,17E-08","2,83E-13","0,036266947","0,16893566","1,83E-08","1,11E-10","4,98E-15","2,66E-04","8,15E-05","0,000048435041","5,89E-07","6,91E-05","7,91E-07","1,63E-07","1,15E-06","1,16E-05","2,34E-06","8,63E-10","1,89E-10","1,52E-11","1,10E-05","0,000030122958","6,47E-06","2,63E-06",mix of the Idemat data of the basic metals
"Materials, metals, ferro, steel high grade ",kg ,36NiCr6,"0,6339","0,0201","0,2054","0,2448","0,16356","0,19201947","0,010432584","0,009732134","0,0029113005","0,003895274","0,0036060108","0,0029275536","0,23959882","0,00016874612","0,00409911","1,01E-07","0,00098223691",0,"1,2298","16,126704","15,090072","0,55573617",0,"0,48049648","0,000026148522","0,00037330208","0,08284","0,07992","0,00216","0,00076","0,000004791308401","0,000000007992255319","0,106482661","1,15E-06","3,46E-09","9,45E-14","2,69E-10","9,45E-14","1,45E-09","3,58E-06","2,26E-10","4,16E-09","5,49E-12","1,40E-14","2,19E-11","3,01E-13","1,88E-13","5,47E-09","3,92E-08","1,45E-13","0,019718717","0,086763944","1,90E-08","1,16E-10","5,18E-15","1,27E-04","2,91E-05","0,00003428913","3,43E-07","2,60E-05","8,19E-07","1,17E-07","1,19E-06","5,23E-06","2,39E-06","7,10E-10","9,88E-11","1,25E-11","4,83E-06","1,89E-05","1,12E-06","2,73E-06",mix of the Idemat data of the basic metals
"Materials, metals, ferro, steel high grade ",kg ,37MnSi5,"0,2584","0,0160","0,0245","0,0835","0,13431","0,012746664","0,010144042","0,0083535331","0,0029448867","0,0011396035","0,0035838298","0,0016340362","0,080991816","0,000071027821","0,0014617187","2,71E-07","0,00098395619",0,"1,0099","11,40287","11,109429","0,19817228",0,"0,093641103","0,000083782571","0,0015436784","0,02360","0,02222","0,00096","0,00043","0,000001331919144","0,000000003536193891","0,06036241","9,43E-07","2,85E-09","7,77E-14","2,72E-10","4,06E-13","1,24E-09","3,26E-07","1,76E-10","3,74E-10","4,32E-12","1,37E-14","2,00E-11","2,14E-13","1,68E-13","5,19E-09","3,69E-08","3,68E-13","0,012392364","0,047970046","1,91E-08","1,16E-10","5,19E-15","5,81E-05","2,98E-06","2,82E-05","1,91E-07","4,52E-06","8,37E-07","8,65E-08","1,22E-06","1,53E-06","2,37E-06","3,05E-09","2,58E-10","5,39E-11","1,78E-06","1,36E-05","-1,91E-06","2,74E-06",mix of the Idemat data of the basic metals
"Materials, metals, ferro, steel high grade ",kg ,42CrMo4,"0,4320","0,0232","0,0421","0,2023","0,16454","0,02526357","0,011709373","0,0083030365","0,002926335","0,0077353225","0,0041936828","0,0051162361","0,19259108","0,000014751932","0,0086696387","5,63E-08","0,00098778992",0,"1,2371","16,195529","13,9776","1,1753849",0,"1,0422064","0,000017400995","0,00032061012","0,03175","0,02981","0,00120","0,00073","0,000001787263897","0,00000000445175822","0,10286688","1,15E-06","3,48E-09","9,51E-14","2,70E-10","8,43E-14","1,23E-09","5,51E-07","1,77E-10","6,36E-10","7,17E-12","3,03E-14","3,43E-11","5,60E-13","3,10E-13","6,40E-09","5,56E-08","7,63E-14","0,02683245","0,07603443","1,92E-08","1,16E-10","5,21E-15","1,35E-04","4,79E-06","0,000034494265","5,99E-07","6,00E-06","8,72E-07","1,61E-07","1,19E-06","0,000010380258","2,77E-06","6,34E-10","5,35E-11","1,12E-11","1,96E-06","0,000018302166","0,000050473128","2,75E-06",mix of the Idemat data of the basic metals
"Materials, metals, ferro, steel high grade ",kg ,50 CrV4,"0,4631","0,0267","0,0459","0,2255","0,16506","0,029075497","0,011840775","0,0084290542","0,0032861273","0,0075592318","0,0074143735","0,0049956143","0,21573603","0,000096090164","0,0086439389","3,72E-07","0,00098778992",0,"1,2410","16,241603","14,04132","1,171895",0,"1,0015124","0,016481138","0,010393777","0,03317","0,03120","0,00123","0,00074","0,000001870514078","0,000000004552014715","0,103357655","1,16E-06","3,49E-09","9,54E-14","2,71E-10","1,27E-13","1,25E-09","6,28E-07","1,79E-10","7,19E-10","7,06E-12","3,03E-14","3,81E-11","5,57E-13","3,27E-13","6,45E-09","5,87E-08","5,91E-13","0,027732143","0,075625512","1,92E-08","1,16E-10","5,21E-15","1,38E-04","5,36E-06","0,000034603478","5,85E-07","6,78E-06","8,84E-07","1,58E-07","1,21E-06","1,01E-05","4,91E-06","9,54E-10","3,91E-10","1,68E-11","2,01E-06","0,000018369002","5,03E-05","2,75E-06",mix of the Idemat data of the basic metals
"Materials, metals, ferro, steel high grade ",kg ,C15,"0,2331","0,0159","0,0231","0,0677","0,12645","0,01147061","0,010015528","0,0083042544","0,002969614","0,00094617139","0,0036358534","0,001606497","0,066162475","0,000014751932","0,00055178276","5,63E-08","0,001002438",0,"0,9508","10,635207","10,524046","0,074807858",0,"0,036015437","0,000017400995","0,00032061012","0,02220","0,02091","0,00090","0,00039","0,000001253567989","0,000000003342852295","0,054172881","8,88E-07","2,68E-09","7,32E-14","2,74E-10","8,43E-14","1,23E-09","3,02E-07","1,75E-10","3,46E-10","4,39E-12","1,39E-14","2,03E-11","2,15E-13","1,70E-13","5,20E-09","3,76E-08","7,63E-14","0,011438393","0,042734488","1,94E-08","1,18E-10","5,29E-15","5,50E-05","2,79E-06","2,65E-05","1,88E-07","4,39E-06","8,34E-07","8,80E-08","1,21E-06","1,27E-06","2,41E-06","6,34E-10","5,35E-11","1,12E-11","1,74E-06","1,27E-05","-1,97E-06","2,79E-06",mix of the Idemat data of the basic metals
"Materials, metals, ferro, steel high grade ",kg ,C35,"0,4092","0,0190","0,0776","0,1663","0,14636","0,063883023","0,010743657","0,0086874581","0,0029431196","0,0035303675","0,0038451384","0,0029496339","0,16160428","0,000055817048","0,003614452","6,83E-08","0,00099334695",0,"1,1004","13,555693","12,647478","0,49002874",0,"0,41783171","0,000019733669","0,00033466131","0,04113","0,03921","0,00132","0,00059","0,000002350742783","0,000000004889185832","0,082996523","1,03E-06","3,10E-09","8,46E-14","2,72E-10","8,70E-14","1,29E-09","1,25E-06","1,89E-10","1,45E-09","5,44E-12","2,04E-14","2,58E-11","3,49E-13","2,25E-13","5,65E-09","4,46E-08","9,47E-14","0,019794367","0,063202156","1,93E-08","1,17E-10","5,24E-15","1,02E-04","1,04E-05","0,000030682556","3,46E-07","1,07E-05","8,47E-07","1,16E-07","1,20E-06","4,74E-06","2,54E-06","6,54E-10","6,56E-11","1,15E-11","2,63E-06","0,000015818221","1,92E-05","2,76E-06",mix of the Idemat data of the basic metals
"Materials, metals, ferro, steel high grade ",kg ,C45,"0,4101","0,0190","0,0777","0,1668","0,14657","0,064037691","0,010744237","0,0086800651","0,0029401349","0,0035551638","0,0038429117","0,0029525601","0,1620164","0,000055817048","0,0037223629","6,83E-08","0,00099233674",0,"1,1020","13,594959","12,664911","0,50465874",0,"0,42503471","0,000019733669","0,00033466131","0,04120","0,03928","0,00132","0,00059","0,000002354878856","0,000000004896523787","0,083222955","1,03E-06","3,10E-09","8,47E-14","2,72E-10","8,70E-14","1,29E-09","1,26E-06","1,89E-10","1,46E-09","5,44E-12","2,04E-14","2,58E-11","3,49E-13","2,25E-13","5,65E-09","4,45E-08","9,47E-14","0,019800487","0,063422468","1,92E-08","1,17E-10","5,23E-15","1,02E-04","1,04E-05","0,000030727011","3,46E-07","1,07E-05","8,46E-07","1,15E-07","1,20E-06","4,77E-06","2,54E-06","6,54E-10","6,56E-11","1,15E-11","2,63E-06","1,59E-05","1,92E-05","2,76E-06",mix of the Idemat data of the basic metals
"Materials, metals, ferro, steel high grade ",kg ,C55,"0,2340","0,0159","0,0233","0,0683","0,12666","0,011625277","0,010016108","0,0082968613","0,0029666293","0,0009709677","0,0036336268","0,0016094233","0,066574596","0,000014751932","0,00065969364","5,63E-08","0,0010014278",0,"0,9524","10,674473","10,541479","0,089437858",0,"0,043218437","0,000017400995","0,00032061012","0,02227","0,02098","0,00091","0,00039","0,000001257704082","0,000000003350190229","0,054399313","8,89E-07","2,68E-09","7,33E-14","2,74E-10","8,43E-14","1,23E-09","3,05E-07","1,75E-10","3,49E-10","4,39E-12","1,39E-14","2,03E-11","2,15E-13","1,70E-13","5,20E-09","3,75E-08","7,63E-14","0,011444513","0,0429548","1,94E-08","1,18E-10","5,28E-15","5,51E-05","2,81E-06","2,66E-05","1,89E-07","4,40E-06","8,34E-07","8,79E-08","1,21E-06","1,30E-06","2,40E-06","6,34E-10","5,35E-11","1,12E-11","1,74E-06","1,28E-05","-1,97E-06","2,79E-06",mix of the Idemat data of the basic metals
"Materials, metals, ferro, steel high grade ",kg ,C60,"0,2340","0,0159","0,0233","0,0683","0,12666","0,011625277","0,010016108","0,0082968613","0,0029666293","0,0009709677","0,0036336268","0,0016094233","0,066574596","1,48E-05","0,00065969364","5,63E-08","0,0010014278",0,"0,9524","10,674473","10,541479","0,089437858","0,00E+00","0,043218437","1,74E-05","0,00032061012","0,02227","0,02098","0,00091","0,00039","0,000001257704082","0,000000003350190229","0,054399313","8,89E-07","2,68E-09","7,33E-14","2,74E-10","8,43E-14","1,23E-09","3,05E-07","1,75E-10","3,49E-10","4,39E-12","1,39E-14","2,03E-11","2,15E-13","1,70E-13","5,20E-09","3,75E-08","7,63E-14","0,011444513","0,0429548","1,94E-08","1,18E-10","5,28E-15","5,51E-05","2,81E-06","2,66E-05","1,89E-07","4,40E-06","8,34E-07","8,79E-08","1,21E-06","1,30E-06","2,40E-06","6,34E-10","5,35E-11","1,12E-11","1,74E-06","1,28E-05","-1,97E-06","2,79E-06",mix of the Idemat data of the basic metals
"Materials, metals, ferro, steel high temperature ",kg ,13CrMo4 5 (1.7335),"0,5471","0,0230","0,0472","0,3167","0,16009","0,029044596","0,012901036","0,0083089797","0,0029293362","0,0070725027","0,0046990582","0,0052614037","0,30803233","1,37E-05","0,0077072123","5,21E-08","0,00098900208",0,"1,2037","15,528835","13,560827","1,0449041","0,00E+00","0,9227914","1,61E-05","0,00029686122","0,03267","0,03066","0,00120","0,00082","0,000001837832914","0,000000004447824201","0,114202309","1,12E-06","3,39E-09","9,25E-14","2,71E-10","7,81E-14","1,24E-09","6,20E-07","1,77E-10","7,16E-10","7,06E-12","4,60E-14","4,36E-11","6,86E-13","4,00E-13","6,74E-09","6,81E-08","7,07E-14","0,042130247","0,072072062","1,92E-08","1,17E-10","5,22E-15","1,81E-04","5,34E-06","3,36E-05","6,16E-07","6,46E-06","9,20E-07","1,58E-07","1,20E-06","9,49E-06","3,11E-06","5,87E-10","4,95E-11","1,04E-11","1,99E-06","1,76E-05","9,77E-05","2,75E-06",mix of the Idemat data of the basic metals
"Materials, metals, ferro, steel high temperature ",kg ,21MoV53,"0,6342","0,0332","0,0570","0,3939","0,15007","0,03994994","0,013222579","0,0087341034","0,004194579","0,0043106142","0,015950998","0,0038419259","0,3873523","0,00029834301","0,0052819293","1,16E-06","0,00099102251",0,"1,1284","13,975791","12,69791","0,7160772",0,"0,46861136","0,057639191","0,035552946","0,03534","0,03337","0,00122","0,00075","0,000002000584153","0,000000004495178032","0,105602405","1,05E-06","3,18E-09","8,68E-14","2,73E-10","2,27E-13","1,30E-09","8,43E-07","1,85E-10","9,53E-10","5,77E-12","4,57E-14","5,52E-11","6,08E-13","4,42E-13","6,66E-09","7,73E-08","1,87E-12","0,045288208","0,060314197","1,92E-08","1,17E-10","5,23E-15","1,83E-04","6,99E-06","3,15E-05","4,50E-07","8,92E-06","9,64E-07","1,24E-07","1,27E-06","5,78E-06","1,06E-05","1,71E-09","1,23E-09","3,00E-11","2,15E-06","1,61E-05","0,000095435438","2,76E-06",mix of the Idemat data of the basic metals
"Materials, metals, ferro, steel high temperature ",kg ,22Mo4,"0,4164","0,0173","0,0338","0,2346","0,13064","0,019460222","0,011799743","0,0082908232","0,0029531731","0,0017600153","0,0043450378","0,0025714913","0,23202814","1,64E-05","0,0015593459","6,26E-08","0,00099657894",0,"0,9823","11,231254","10,877237","0,21140806","0,00E+00","0,14223349","1,93E-05","0,00035623347","0,02567","0,02413","0,00098","0,00057","0,000001446565454","0,000000003613721382","0,079282017","9,17E-07","2,77E-09","7,56E-14","2,73E-10","9,37E-14","1,23E-09","4,47E-07","1,75E-10","5,15E-10","4,87E-12","3,60E-14","3,43E-11","4,41E-13","3,07E-13","5,86E-09","5,62E-08","8,48E-14","0,032936645","0,046345372","1,93E-08","1,18E-10","5,26E-15","1,28E-04","3,95E-06","2,74E-05","3,01E-07","5,33E-06","8,97E-07","1,00E-07","1,21E-06","2,36E-06","2,88E-06","7,04E-10","5,95E-11","1,24E-11","1,84E-06","1,33E-05","6,53E-05","2,77E-06",mix of the Idemat data of the basic metals
"Materials, metals, ferro, steel high temperature ",kg ,28NiCrMo4,"0,6433","0,0179","0,1660","0,3152","0,14422","0,15224258","0,01144735","0,00939872","0,0029318879","0,0014581015","0,0041075415","0,0022708456","0,31307435","0,00013172141","1,01E-03","8,65E-08","0,00098950962",0,"1,0843","13,271501","13,039955","1,37E-01","0,00E+00","9,44E-02","2,28E-05","3,37E-04","0,06836","0,06582","0,00182","0,00072","0,000003946098519","0,00000000674066463","0,100178549","1,01E-06","3,05E-09","8,34E-14","2,71E-10","8,59E-14","1,40E-09","2,86E-06","2,14E-10","3,32E-09","4,69E-12","2,96E-14","3,01E-11","3,75E-13","2,66E-13","5,61E-09","5,05E-08","1,23E-13","0,03306747","0,067111079","1,92E-08","1,17E-10","5,22E-15","1,51E-04","2,33E-05","3,02E-05","2,66E-07","2,13E-05","8,71E-07","9,61E-08","1,20E-06","1,96E-06","2,72E-06","6,45E-10","8,42E-11","1,14E-11","4,12E-06","1,58E-05","4,69E-05","2,75E-06",mix of the Idemat data of the basic metals
"Materials, metals, ferro, steel low temperature ",kg ,15NiMn6 (1.6228),"0,5903","0,0173","0,1942","0,2318","0,14705","0,18227445","0,010319131","0,0097639086","0,0029590271","0,00093029473","0,0036216681","0,0015985941","0,23013164","1,63E-04","0,00049876329","9,55E-08","0,00099860219",0,"1,1056","13,640416","13,540009","0,067619759","0,00E+00","0,03241491","2,46E-05","0,00034779679","0,07770","0,07504","0,00201","0,00065","0,00000449890423","0,000000007438823145","0,090802305","1,03E-06","3,11E-09","8,50E-14","2,73E-10","8,79E-14","1,45E-09","3,40E-06","2,25E-10","3,96E-09","4,38E-12","1,39E-14","2,03E-11","2,16E-13","1,70E-13","5,18E-09","3,74E-08","1,37E-13","0,019503767","0,071298538","1,94E-08","1,18E-10","5,27E-15","1,12E-04","2,77E-05","3,08E-05","1,87E-07","2,49E-05","8,32E-07","8,77E-08","1,21E-06","1,25E-06","2,40E-06","6,61E-10","9,33E-11","1,17E-11","4,68E-06","1,64E-05","-1,02E-06","2,78E-06",mix of the Idemat data of the basic metals
"Materials, metals, ferro, steel low temperature ",kg ,A514(A),"0,3996","0,0208","0,0380","0,1906","0,15025","0,02255002","0,011470618","0,0082448241","0,0029283485","0,0054453189","0,0041555609","0,0040249801","0,1833411",0,"0,006230134","0,00E+00","0,0009911223",0,"1,1297","14,256457","12,698997","0,8446494","0,00E+00","0,7128108","0,00E+00",0,"0,02903","0,02728","0,00111","0,00064","0,000001635250659","0,000000004088621756","0,090150851","1,05E-06","3,18E-09","8,68E-14","2,71E-10","0,00E+00","1,23E-09","5,02E-07","1,75E-10","5,79E-10","6,23E-12","2,94E-14","3,24E-11","4,84E-13","2,91E-13","6,11E-09","5,32E-08","0,00E+00","0,025987305","0,064163546","1,92E-08","1,17E-10","5,23E-15","1,22E-04","0,000004389083","3,15E-05","4,71E-07","5,67E-06","8,67E-07","1,36E-07","1,19E-06","7,31E-06","2,75E-06","0,00E+00","0,00E+00","0,00E+00","1,89E-06","1,63E-05","4,69E-05","2,76E-06",mix of the Idemat data of the basic metals
"Materials, metals, ferro, steel low temperature ",kg ,ASt35 (1.0346),"0,2336","0,0158","0,0229","0,0681","0,12672","0,011318949","0,01002457","0,0083200687","0,0029725328","0,00092099151","0,003635423","0,0016038914","0,066646072","1,91E-05","0,00044749509","7,30E-08","0,0010026405",0,"0,9528","10,631167","10,541248","0,060669075","0,00E+00","0,028812566","2,26E-05","0,00041560572","0,02219","0,02090","0,00090","0,00039","0,000001252947441","0,000000003345971609","0,054286495","8,89E-07","2,68E-09","7,33E-14","2,75E-10","1,09E-13","1,24E-09","3,00E-07","1,75E-10","3,43E-10","4,39E-12","1,39E-14","2,03E-11","2,15E-13","1,70E-13","5,20E-09","3,76E-08","9,89E-14","0,011502566","0,042783929","1,94E-08","1,18E-10","5,29E-15","5,50E-05","2,77E-06","2,66E-05","1,88E-07","4,37E-06","8,36E-07","8,80E-08","1,21E-06","1,24E-06","2,41E-06","8,21E-10","6,94E-11","1,45E-11","1,74E-06","1,27E-05","-1,98E-06","2,79E-06",mix of the Idemat data of the basic metals
"Materials, metals, ferro, steel low temperature ",kg ,X12CrNi 18 9,"3,6481","0,1311","1,2823","1,3727","0,86198","1,2136617","0,018717513","0,017003472","0,0021266458","0,1078488","0,0041338806","0,049902412","1,241139","9,79E-04","0,12985013","4,78E-07","0,00070717473",0,"6,4811","118,29459","84,54321","17,60441","0,00E+00","16,145348","1,17E-04","0,0015035967","0,48955","0,47165","0,01207","0,00583","0,00002827649235","0,00000004463061055","0,817001994","6,02E-06","1,82E-08","4,96E-13","1,96E-10","3,73E-13","2,53E-09","2,21E-05","4,99E-10","2,57E-08","4,57E-11","2,20E-14","8,68E-11","3,37E-12","8,86E-13","1,72E-08","1,14E-07","6,95E-13","0,062784964","0,75421703","1,37E-08","8,34E-11","3,73E-15","8,91E-04","1,78E-04","1,81E-04","5,85E-06","1,48E-04","6,43E-07","1,17E-06","8,83E-07","1,45E-04","2,74E-06","2,81E-09","4,70E-10","4,95E-11","2,24E-05","1,25E-04","7,93E-05","1,97E-06",mix of the Idemat data of the basic metals
"Materials, metals, ferro, steel low temperature ",kg ,X12Ni5 (1.5680),"0,5909","0,0167","0,1980","0,2338","0,14250","0,18654624","0,009914643","0,0094601818","0,0028351964","0,00089612376","0,0034699594","0,0015325987","0,2321396","0,00016662675","0,0004988141","9,67E-08","0,00095667834",0,"1,0715","13,297104","13,196689","0,067626647","0,00E+00","0,032414938","2,48E-05","0,00034920191","0,07834","0,07569","0,00201","0,00064","0,000004537991175","0,000000007416653788","0,08967112","9,99E-07","3,02E-09","8,24E-14","2,62E-10","8,82E-14","1,41E-09","3,48E-06","2,19E-10","4,05E-09","4,19E-12","1,33E-14","1,94E-11","2,07E-13","1,63E-13","4,96E-09","3,59E-08","1,39E-13","0,019264638","0,070406482","1,85E-08","1,13E-10","5,05E-15","1,12E-04","0,000028276145","0,000029875097","1,80E-07","0,00002528305","7,97E-07","8,40E-08","1,16E-06","0,000001202535","2,30E-06","6,63E-10","9,45E-11","1,17E-11","4,69E-06","0,000015943266","-0,00000091486476","2,66E-06",mix of the Idemat data of the basic metals
"Materials, metals, ferro, steel low temperature ",kg ,X8Ni9,"2,4466","0,0237","1,0843","1,0890","0,24967","1,071506","0,011302279","0,01684028","0,0026970648","0,00088080644","0,0032849818","0,0014655039","1,0864671","0,00095674718","0,00063211568","0,00000039423686","0,00090416476",0,"1,8772","28,953016","28,826574","0,085699024",0,"0,039623711","0,000091154041","0,0010286187","0,36590","0,35615","0,00774","0,00201","0,00002135183387","0,00000002863745813","0,280871624","1,75E-06","5,27E-09","1,44E-13","2,49E-10",0,"2,50E-09","1,95E-05","4,74E-10","2,28E-08","3,97E-12","1,26E-14","1,84E-11","2,06E-13","1,56E-13","4,72E-09","3,39E-08",0,"0,061187974","0,21968365","1,75E-08","1,07E-10","4,77E-15","4,08E-04","1,57E-04","5,23E-05","1,72E-07","1,31E-04","7,63E-07","7,94E-08","1,11E-06","1,18E-06","2,17E-06","0,0000000018662352","0,00000000039047584",0,"1,99E-05","3,48E-05","0,0000040814135","2,52E-06",mix of the Idemat data of the basic metals
"Materials, metals, ferro, steel spring ",kg ,38Si6,"0,2560","0,0160","0,0235","0,0824","0,13413","0,011748842","0,010164326","0,0084226411","0,0029641227","0,00097746851","0,0035916604","0,0016158172","0,080552324","0,000081955178","0,00076935603","3,13E-07","0,00098850314",0,"1,0085","11,235707","11,082701","0,10430532",0,"0,046821927","0,000096672197","0,0017811674","0,02329","0,02191","0,00095","0,00043","0,000001313823422","0,000000003514640354","0,059740718","9,42E-07","2,84E-09","7,76E-14","2,74E-10","4,68E-13","1,25E-09","3,09E-07","1,78E-10","3,53E-10","4,34E-12","1,38E-14","2,01E-11","2,14E-13","1,69E-13","5,18E-09","3,71E-08","4,24E-13","0,012528319","0,047212399","1,92E-08","1,17E-10","5,21E-15","5,74E-05","0,0000028482925","0,000028119441","1,89E-07","0,0000044187046","8,45E-07","8,68E-08","1,23E-06","0,0000013116939","2,38E-06","3,52E-09","2,97E-10","6,21E-11","1,78E-06","0,000013400726","-0,0000019403546","2,75E-06",mix of the Idemat data of the basic metals
"Materials, metals, ferro, steel spring ",kg ,50CrV4,"0,3601","0,0279","0,0418","0,1235","0,16688","0,02669999","0,010681417","0,0084762148","0,0034584544","0,0074677439","0,0085038011","0,0044637304","0,11335048","1,44E-04","0,0090358746","5,57E-07","0,00098395174",0,"1,2547","16,485147","14,208743","1,2250289","0,00E+00","1,0110696","2,47E-02","0,015584729","0,03242","0,03055","0,00123","0,00064","0,000001831597832","0,000000004533405398","0,089740183","1,17E-06","3,53E-09","9,64E-14","2,70E-10","1,89E-13","1,26E-09","5,88E-07","1,80E-10","6,69E-10","6,80E-12","1,44E-14","3,02E-11","4,07E-13","2,40E-13","6,05E-09","4,71E-08","8,85E-13","0,012994233","0,07674595","1,91E-08","1,16E-10","5,19E-15","9,09E-05","5,02E-06","3,50E-05","5,23E-07","6,66E-06","8,42E-07","1,51E-07","1,22E-06","1,00E-05","5,63E-06","1,42E-09","5,85E-10","2,50E-11","1,99E-06","1,86E-05","2,45E-06","2,74E-06",mix of the Idemat data of the basic metals
